1,Bruno_Larson@msn.com,I dont enjoy bats games speakers from Zico,Texas,3-2-2012
1,Tom_Chrysler@gmail.com,I dont enjoy shoes from Zuke,Oregon,1-28-2012
1,Betty_Chrysler@yahoo.com,I can't stand speakers from Dennys,Illinois,2-23-2012
1,Monica_Toddbridge@gmail.com,I cherish speakers pens games from Greeno,Illinois,2-4-2012
2,Monica_Toddbridge@gmail.com,I love bats speakers from Zico,Pennsylvania,3-28-2012
1,Betty_Helibron@yahoo.com,I cherish bats from Metsu,Masachussets,4-28-2012
1,Roger_Lomet@msn.com,I dislike pens from Bonzo,Michigan,2-20-2012
2,Roger_Lomet@msn.com,I hate CDs from Zuke,Illinois,2-24-2012
1,Sam_Peterson@hotmail.com,I dont enjoy CDs caps shoes from Greeno,Utah,4-18-2012
1,Christy_Li@msn.com,I dislike bats games from Zuke,California,2-27-2012
2,Christy_Li@msn.com,I hate speakers bats CDs from Zico,Utah,3-1-2012
1,Albert_Carey@msn.com,I hate teddys pens CDs from BonBon,Washington,2-6-2012
1,Bruno_Keit@gmail.com,I cherish hoodies pens from Zico,Utah,2-7-2012
2,Bruno_Keit@gmail.com,I love games speakers from Nano,Utah,2-2-2012
1,Kitty_Toddbridge@msn.com,I cherish speakers from Absoo,Masachussets,1-9-2012
2,Kitty_Toddbridge@msn.com,I cherish hoodies games from Absoo,Ney York,3-19-2012
1,Denny_Karipova@yahoo.com,I hate pens from BonBon,Utah,3-25-2012
2,Denny_Karipova@yahoo.com,I can't stand CDs from Metsu,Colarado,1-19-2012
1,Albert_Karipova@gmail.com,I dislike shoes teddys CDs from Zippy,Pennsylvania,1-2-2012
1,Alex_Keit@gmail.com,I dislike hoodies CDs from Dennys,Masachussets,1-23-2012
2,Alex_Keit@gmail.com,I cherish caps hoodies pens from Metsu,Pennsylvania,2-1-2012
1,Tina_Keit@msn.com,I hate bats games from Zippy,Pennsylvania,2-6-2012
2,Tina_Keit@msn.com,I enjoy speakers caps shoes from Bonzo,Michigan,1-26-2012
1,George_Smith@hotmail.com,I like bats from Bonzo,Florida,4-21-2012
1,Monica_Keit@yahoo.com,I enjoy caps from Nano,Illinois,3-6-2012
2,Monica_Keit@yahoo.com,I cherish shoes hoodies from Zico,Michigan,3-26-2012
1,Nadir_Toddbridge@hotmail.com,I can't stand teddys hoodies from Zippy,Pennsylvania,4-3-2012
1,Peter_Karipova@hotmail.com,I enjoy speakers hoodies from Radix,Masachussets,3-24-2012
